"year","country","age","gender","corruption","imp_democracy","income_group"
2017,"US",40,1,10,5,6
2017,"US",32,2,5,5,4
2017,"US",41,1,10,10,5
2017,"US",25,2,5,5,3
2017,"US",23,2,1,4,8
2017,"US",23,1,10,9,3
2017,"US",28,2,3,5,NA
2017,"US",31,1,3,7,6
2017,"US",51,1,7,3,8
2017,"US",20,2,10,4,4
2017,"US",65,2,10,9,6
2017,"US",19,2,8,5,7
2017,"US",31,2,10,5,5
2017,"US",30,2,1,10,5
2017,"US",21,1,10,8,2
2017,"US",27,2,10,3,1
2017,"US",19,2,5,8,7
2017,"US",29,2,10,2,5
2017,"US",25,2,10,8,5
2017,"US",31,1,5,5,5
2017,"US",51,2,6,5,4
2017,"US",29,2,8,10,3
2017,"US",21,2,5,NA,5
2017,"US",40,2,6,5,5
2017,"US",29,2,7,5,3
2017,"US",26,1,7,5,5
2017,"US",48,2,10,6,2
2017,"US",31,2,4,7,8
2017,"US",23,2,10,8,7
2017,"US",28,2,10,5,5
2017,"US",24,2,9,4,6
2017,"US",30,1,10,5,5
2017,"US",46,2,10,5,5
2017,"US",43,2,5,6,1
2017,"US",25,2,5,5,5
2017,"US",32,2,8,8,5
2017,"US",21,2,10,5,3
2017,"US",27,2,8,8,6
2017,"US",60,2,10,NA,5
2017,"US",30,2,6,5,4
2017,"US",24,1,5,6,5
2017,"US",32,1,4,2,3
2017,"US",68,2,10,8,4
2017,"US",30,2,10,7,5
2017,"US",32,2,7,5,4
2017,"US",31,2,6,2,4
2017,"US",34,2,6,7,6
2017,"US",29,2,10,5,5
2017,"US",28,2,8,5,4
2017,"US",41,2,10,5,5
2017,"US",26,2,10,5,3
2017,"US",22,2,5,5,5
2017,"US",24,2,7,5,6
2017,"US",42,1,10,10,4
2017,"US",25,2,9,9,4
2017,"US",26,2,7,7,6
2017,"US",29,2,10,5,1
2017,"US",39,2,5,5,1
2017,"US",37,1,9,6,3
2017,"US",39,2,10,6,NA
2017,"US",24,2,5,5,5
2017,"US",57,2,10,10,5
2017,"US",42,2,10,8,5
2017,"US",23,2,5,10,4
2017,"US",23,2,3,5,5
2017,"US",44,2,9,9,5
2017,"US",39,2,10,5,1
2017,"US",64,2,10,NA,NA
2017,"US",53,2,10,5,4
2017,"US",49,2,NA,5,5
2017,"US",30,2,5,6,5
2017,"US",22,2,6,5,4
2017,"US",27,1,6,5,5
2017,"US",30,1,10,10,3
2017,"US",51,1,10,10,4
2017,"US",20,2,7,5,5
2017,"US",24,2,10,10,2
2017,"US",38,2,8,8,6
2017,"US",40,2,10,5,5
2017,"US",26,2,5,5,5
2017,"US",38,2,10,5,5
2017,"US",43,1,7,6,7
2017,"US",22,2,1,6,5
2017,"US",32,1,6,5,5
2017,"US",19,1,9,5,5
2017,"US",57,1,6,10,4
2017,"US",22,2,4,5,5
2017,"US",30,1,9,5,8
2017,"US",29,2,9,10,1
2017,"US",43,2,10,5,1
2017,"US",30,2,5,5,4
2017,"US",39,2,10,5,5
2017,"US",37,2,10,5,1
2017,"US",25,1,10,5,5
2017,"US",20,2,10,5,5
2017,"US",42,2,10,5,5
2017,"US",36,1,5,5,6
2017,"US",42,2,1,NA,NA
2017,"US",35,1,10,10,5
2017,"US",31,2,5,4,1
2017,"US",28,2,5,6,6
2017,"US",36,1,10,10,3
2017,"US",62,2,9,5,3
2017,"US",46,2,8,5,3
2017,"US",37,2,9,8,3
2017,"US",21,2,9,8,2
2017,"US",21,2,10,10,3
2017,"US",29,2,10,8,5
2017,"US",33,2,10,10,4
2017,"US",37,1,9,5,5
2017,"US",70,2,10,10,7
2017,"US",30,2,7,5,4
2017,"US",19,1,9,8,4
2017,"US",60,2,10,NA,3
2017,"US",26,2,6,6,4
2017,"US",24,2,10,6,1
2017,"US",55,1,10,10,6
2017,"US",33,1,8,10,5
2017,"US",39,2,10,5,1
2017,"US",45,2,10,5,2
2017,"US",38,2,8,7,7
2017,"US",50,2,8,9,5
2017,"US",37,2,8,6,6
2017,"US",76,1,10,10,3
2017,"US",20,2,7,4,5
2017,"US",54,2,10,5,2
2017,"US",61,2,10,1,5
2017,"US",27,1,5,6,5
2017,"US",49,2,10,6,3
2017,"US",38,2,10,7,3
2017,"US",27,2,10,8,5
2017,"US",59,1,10,4,3
2017,"US",27,2,7,6,5
2017,"US",28,2,10,6,3
2017,"US",35,2,10,10,5
2017,"US",18,2,6,8,5
2017,"US",29,1,10,10,10
2017,"US",19,1,8,7,5
2017,"US",51,2,6,4,7
2017,"US",26,2,10,10,5
2017,"US",22,2,10,5,7
2017,"US",23,1,7,10,1
2017,"US",22,2,8,5,6
2017,"US",40,2,5,6,6
2017,"US",44,2,8,5,5
2017,"US",37,2,7,5,5
2017,"US",53,1,5,5,3
2017,"US",36,2,10,5,7
2017,"US",48,1,10,4,7
2017,"US",28,2,5,5,5
2017,"US",37,1,8,7,5
2017,"US",56,1,8,10,3
2017,"US",27,2,8,7,6
2017,"US",46,2,10,10,4
2017,"US",45,1,10,5,5
2017,"US",24,1,8,5,3
2017,"US",30,2,10,3,2
2017,"US",23,2,10,NA,NA
2017,"US",31,2,6,5,2
2017,"US",42,2,9,5,1
2017,"US",31,2,10,3,6
2017,"US",42,2,9,7,8
2017,"US",37,2,5,3,5
2017,"US",70,2,7,6,1
2017,"US",47,2,10,10,10
2017,"US",19,2,7,7,5
2017,"US",25,1,8,5,3
2017,"US",37,1,7,10,7
2017,"US",30,2,9,7,7
2017,"US",20,1,10,4,2
2017,"US",31,2,8,10,4
2017,"US",45,2,2,5,4
2017,"US",62,1,9,10,3
2017,"US",21,1,10,6,3
2017,"US",60,2,10,8,4
2017,"US",19,1,7,10,3
2017,"US",32,1,10,1,5
2017,"US",38,1,10,8,4
2017,"US",30,2,7,5,7
2017,"US",54,2,10,5,6
2017,"US",81,2,10,9,5
2017,"US",24,1,8,5,7
2017,"US",39,2,10,8,3
