"v960066","v960067","v960070","v960071","v960073","v960115","v960119","v960272","v960281","v960284","v960292","v960293","v960365","v960385","v960420","v960568","v960571","v960605","v960606","v960610","v960701","v961039","v961300","religion"
2,1,2,2,2,4,113,60,85,15,60,15,2,3,2,2,2,26,5,6,NA,70,5,9
1,1,3,3,2,4,113,30,30,60,60,30,5,3,2,2,2,42,3,3,8,NA,NA,1
1,1,2,2,1,4,113,40,45,10,30,10,2,3,2,1,2,20,5,4,1,65,1,9
2,1,3,3,2,4,113,70,60,15,60,30,3,3,1,2,2,21,5,4,1,100,1,9
2,1,4,3,4,4,113,60,70,50,30,60,3,1,5,4,1,19,5,4,1,NA,NA,9
2,1,3,2,3,4,113,70,85,0,70,15,2,3,1,4,2,22,1,6,3,100,1,9
2,1,2,2,2,1,5,100,70,15,85,40,3,5,1,5,1,24,5,6,1,40,5,2
1,1,2,2,2,1,5,30,30,60,40,60,4,3,4,2,1,45,4,6,16,60,5,2
1,1,4,3,3,1,5,70,70,NA,50,60,NA,3,2,4,2,38,5,3,15,85,5,7
2,1,3,2,3,1,3,70,70,0,85,50,NA,3,1,2,1,48,1,5,19,70,5,2
1,1,4,3,3,1,3,70,40,NA,60,70,NA,5,2,1,1,50,1,3,18,85,5,2
1,1,3,3,2,1,3,70,50,15,70,40,4,5,1,2,1,43,1,6,15,60,5,1
1,1,4,3,4,1,3,60,0,NA,70,60,5,1,3,1,1,56,1,3,15,100,5,2
1,1,3,2,3,1,6,60,50,50,50,50,4,3,2,4,2,24,5,5,11,NA,NA,7
2,1,3,2,2,1,6,85,85,15,70,40,4,1,0,4,1,56,3,3,16,60,5,7
2,1,3,3,3,1,0,60,50,40,50,50,4,1,2,1,1,29,1,3,21,50,5,2
1,1,4,3,3,1,0,60,50,40,70,60,NA,5,2,4,1,31,1,4,16,NA,NA,2
2,1,4,3,3,1,0,40,NA,NA,NA,NA,NA,5,2,1,1,23,5,3,13,NA,5,9
2,1,3,3,2,2,0,85,60,50,50,50,4,5,1,1,2,36,1,3,13,50,5,9
2,1,3,3,2,2,0,75,60,25,60,75,NA,1,5,2,1,77,2,3,2,60,5,1
2,1,4,3,4,2,0,50,50,0,50,50,NA,3,3,2,1,63,2,3,3,NA,NA,1
1,1,3,3,2,2,0,60,40,40,85,60,NA,3,3,2,2,32,1,1,11,70,5,9
2,1,4,3,4,2,0,85,85,50,100,50,NA,1,1,4,1,67,2,2,16,100,5,9
1,1,3,3,5,2,0,100,85,40,85,60,NA,1,1,2,1,80,1,3,11,85,5,1
2,1,2,2,3,2,0,70,70,15,70,40,NA,3,1,1,1,34,1,4,15,50,5,9
1,1,2,2,2,2,0,85,100,15,85,60,4,1,0,2,1,54,1,3,16,60,5,9
1,1,2,3,3,2,0,15,0,100,0,70,5,3,6,1,2,50,1,2,21,50,5,9
1,1,2,2,3,2,0,0,0,60,0,85,4,5,5,3,2,67,1,2,14,50,5,9
1,1,4,3,4,2,0,50,30,NA,40,40,NA,1,1,2,1,39,1,3,15,100,5,1
1,1,2,2,3,2,0,30,0,60,50,50,6,5,6,4,1,31,1,5,21,50,5,1
1,1,1,2,3,2,0,0,0,60,0,60,4,5,3,4,2,42,1,3,20,50,5,9
1,1,3,3,2,2,2,60,0,0,85,100,6,3,5,5,1,42,3,3,14,0,5,9
1,1,2,3,3,2,2,70,70,50,100,15,4,1,0,3,1,56,6,3,12,50,5,9
2,1,3,3,2,2,2,85,85,15,100,30,4,1,0,4,1,72,2,2,4,85,5,1
1,1,2,3,2,2,2,0,0,30,50,50,NA,5,3,1,1,26,1,3,9,NA,NA,9
2,1,2,2,3,2,0,70,85,0,85,60,4,1,1,2,2,66,1,3,NA,70,5,9
1,NA,NA,NA,NA,2,0,50,50,50,50,50,NA,3,NA,3,1,24,1,3,15,50,5,7
2,1,2,2,2,2,0,60,70,40,60,60,4,3,5,2,2,20,5,3,12,60,5,9
2,NA,NA,NA,NA,2,0,80,50,25,45,45,4,3,2,4,2,55,1,7,18,50,5,9
1,1,4,3,4,2,0,50,0,0,0,0,NA,1,NA,1,1,46,1,3,19,NA,NA,1
2,1,3,3,2,2,0,50,50,30,60,70,6,3,4,2,1,34,5,4,5,60,5,2
2,1,2,2,2,2,0,30,70,60,40,70,NA,3,6,4,1,59,1,6,3,70,5,1
2,1,3,2,3,2,0,80,70,50,80,70,NA,1,2,2,2,87,2,6,17,70,5,9
2,1,2,2,2,2,0,100,100,0,85,0,2,1,0,4,1,38,1,3,20,85,1,2
1,1,2,2,2,2,0,0,0,40,15,50,5,3,5,1,1,76,1,2,12,70,5,9
1,1,4,3,3,2,0,60,50,0,0,0,NA,1,1,1,1,65,2,2,13,100,5,9
2,1,4,3,3,2,0,100,NA,50,85,15,NA,1,0,2,1,76,2,3,11,70,5,2
2,1,2,2,2,2,0,0,0,85,30,70,6,3,6,5,1,43,1,5,16,NA,NA,1
2,1,3,3,2,2,4,60,40,40,50,50,4,1,2,2,1,30,1,4,12,85,5,7
2,1,4,3,4,3,31,50,0,NA,40,60,NA,5,5,1,1,60,4,2,4,70,5,7
2,1,3,3,2,3,31,60,30,50,40,40,NA,5,1,2,1,64,3,3,1,15,1,1
2,1,4,3,2,3,31,70,60,NA,100,70,4,5,1,3,2,53,5,3,6,NA,NA,9
1,1,2,3,2,3,31,85,70,30,100,50,5,3,2,2,1,75,5,3,8,100,5,1
2,1,5,4,3,3,31,30,30,NA,70,70,NA,1,3,2,1,23,1,2,17,70,5,9
2,1,3,3,2,3,31,15,15,70,60,70,6,5,4,1,1,66,3,4,14,50,5,1
2,1,3,2,3,3,31,70,85,50,70,40,3,1,2,4,1,20,5,4,2,100,1,9
1,1,3,3,3,3,31,85,60,30,85,60,5,3,0,5,1,25,5,4,10,50,5,9
2,1,2,3,1,3,31,0,0,100,30,100,7,3,6,5,1,19,5,4,3,85,5,1
2,1,3,2,3,3,31,60,50,60,60,50,5,1,4,2,2,21,5,4,1,60,1,1
2,1,3,2,3,1,31,70,60,15,85,40,2,3,1,4,1,20,5,4,2,85,5,2
1,1,3,3,3,3,31,15,0,0,0,0,NA,5,4,2,1,19,5,4,1,70,5,1
2,1,3,2,2,3,31,30,60,60,40,60,3,1,6,5,1,20,5,4,6,85,1,2
2,2,2,3,3,3,31,70,60,40,70,40,4,3,0,2,1,20,5,4,19,60,5,7
1,1,2,2,2,3,31,70,50,70,60,70,4,3,5,4,2,20,5,4,21,50,5,9
1,1,2,2,2,3,31,15,15,85,15,85,5,3,5,2,1,20,5,4,24,70,5,7
2,1,3,2,3,3,31,70,60,40,70,60,4,3,2,2,1,20,5,4,2,60,5,2
2,1,3,2,3,3,31,70,40,30,60,60,NA,1,2,5,2,20,5,4,1,70,5,1
2,1,3,2,3,3,31,85,70,40,70,40,3,3,1,4,1,18,5,4,1,70,1,2
2,1,1,2,2,3,31,40,30,40,40,70,5,1,5,4,1,21,5,4,22,85,5,1
1,1,3,3,2,3,31,30,15,60,50,70,NA,3,5,2,1,69,1,3,17,40,5,9
2,1,2,1,2,3,31,60,20,0,65,15,3,3,2,1,2,29,1,7,22,60,5,2
1,1,3,3,3,3,31,70,50,40,60,50,3,1,1,2,2,48,1,6,21,60,5,9
2,1,3,2,3,3,31,70,60,30,60,40,3,3,1,2,1,30,5,7,15,70,5,9
2,1,3,2,2,3,31,85,85,0,85,15,2,1,0,5,1,22,1,4,6,85,5,1
1,1,3,2,2,3,31,40,30,15,40,70,4,3,4,5,1,23,5,5,13,NA,NA,9
2,1,3,2,2,3,31,70,85,40,70,60,4,3,2,4,1,29,5,7,14,70,5,2
1,1,4,3,4,3,31,70,70,NA,40,70,NA,1,5,5,2,19,5,3,13,NA,NA,7
1,1,4,3,4,3,31,40,50,30,50,60,4,5,4,1,1,22,5,6,5,NA,5,9
1,1,3,3,2,3,31,50,50,NA,50,60,NA,3,2,1,1,42,1,3,20,50,5,1
2,1,3,2,3,3,31,85,85,50,70,60,2,3,1,2,1,24,5,6,1,70,5,1
2,1,3,3,3,3,31,30,15,60,0,85,6,3,6,2,1,25,1,4,14,0,5,1
1,1,2,2,1,3,0,0,0,100,0,100,4,5,6,4,1,51,3,5,24,85,1,9
2,1,4,3,4,3,0,60,50,40,60,40,6,3,2,2,1,24,1,3,17,NA,NA,7
2,1,4,3,3,3,0,30,0,0,60,50,NA,5,3,2,1,25,1,3,12,85,5,1
2,1,4,3,3,3,0,40,40,50,40,60,5,3,4,5,1,20,5,4,NA,60,5,1
2,1,4,3,2,3,0,40,50,40,60,50,4,1,2,2,1,40,1,3,10,60,5,9
1,1,5,5,5,3,0,70,0,100,0,100,7,1,NA,4,1,88,1,1,NA,15,NA,1
2,1,5,4,5,3,0,60,60,40,70,50,NA,5,1,2,1,42,3,3,14,85,5,1
1,1,3,4,2,3,0,85,70,50,70,60,NA,1,1,3,1,42,1,2,20,70,5,1
2,1,4,4,4,3,0,50,50,50,70,70,NA,3,3,2,1,42,1,2,19,NA,NA,7
1,1,3,3,3,3,0,0,0,0,0,0,4,5,3,3,1,32,1,2,15,50,5,9
1,2,4,4,4,3,22,70,40,40,85,80,4,1,3,2,1,45,5,5,18,50,5,9
2,2,3,3,3,3,22,70,85,0,100,30,NA,1,1,1,1,73,2,3,2,NA,NA,1
2,2,4,3,3,3,22,60,75,NA,70,60,4,3,2,2,1,19,5,3,16,80,1,1
1,1,3,3,3,3,0,50,50,50,50,50,4,3,3,2,1,40,3,3,19,40,5,9
1,1,4,3,3,3,0,50,50,NA,50,60,NA,3,1,5,1,32,1,3,13,NA,NA,9
2,1,4,4,3,3,0,70,50,50,100,50,NA,NA,1,2,1,56,1,1,16,NA,5,2
2,1,3,3,3,3,0,85,85,50,70,60,NA,3,4,3,2,25,1,3,12,60,5,9
1,1,3,3,3,3,0,70,70,50,60,50,6,3,0,5,1,49,1,4,22,50,5,2
2,1,3,3,3,3,20,0,15,50,15,85,5,3,4,3,1,29,1,4,22,85,5,2
2,1,4,3,3,3,0,85,85,0,100,15,NA,1,0,2,1,67,2,3,2,85,5,2
2,2,4,4,3,3,0,100,100,NA,70,NA,NA,1,5,1,1,41,3,3,3,60,5,2
2,1,5,5,5,3,0,NA,100,NA,NA,NA,NA,NA,NA,4,NA,67,1,1,1,85,5,9
1,1,3,3,3,3,0,85,60,15,85,40,3,1,1,2,1,47,2,6,3,60,5,2
2,1,4,3,3,3,20,100,100,0,100,85,NA,1,0,1,1,34,1,3,17,NA,5,2
2,1,4,3,3,3,20,85,70,40,100,50,NA,3,1,5,1,56,5,NA,3,60,5,2
1,1,2,2,2,4,0,40,30,60,40,60,5,1,4,2,2,29,1,5,23,60,5,9
2,1,3,2,3,4,0,60,50,40,60,50,4,1,2,1,2,43,5,6,22,NA,NA,9
2,1,3,3,3,4,0,85,70,60,85,60,NA,1,2,3,1,58,1,2,11,70,5,2
1,3,3,3,3,4,0,40,40,60,30,70,5,3,5,5,1,48,1,4,16,NA,NA,1
2,1,3,3,1,4,0,0,85,0,15,85,6,5,6,2,1,44,3,4,2,30,5,9
2,1,3,3,3,4,0,85,70,0,70,15,1,1,2,2,2,67,3,7,17,NA,NA,9
1,1,3,3,2,4,0,70,40,0,50,50,NA,3,3,2,1,23,1,3,14,NA,NA,9
2,1,3,3,2,4,0,100,85,40,100,40,4,3,0,2,1,77,2,3,8,60,5,2
2,1,3,3,2,4,0,0,0,60,40,85,5,3,4,2,1,52,1,3,17,60,5,1
2,2,3,3,4,4,0,100,100,0,85,15,4,3,1,4,1,31,1,3,3,50,5,7
2,1,4,3,3,4,33,70,85,30,50,50,NA,3,2,1,2,38,1,5,21,70,5,1
1,1,4,3,3,4,33,40,30,30,60,50,NA,3,1,1,2,41,1,6,21,50,5,1
1,1,4,3,2,4,33,15,50,50,40,40,4,3,2,1,1,40,1,6,20,60,5,2
1,1,3,2,3,4,33,40,40,50,60,70,NA,1,5,3,1,38,1,6,24,60,5,2
1,1,3,3,2,4,33,100,75,0,90,25,NA,1,0,2,1,74,1,3,4,70,5,7
2,1,4,3,3,4,33,0,0,85,0,85,6,3,4,5,1,33,1,6,20,50,5,7
1,1,3,3,3,4,33,50,70,50,50,50,4,3,3,1,2,33,1,5,17,100,5,9
2,1,2,2,2,1,2,60,70,50,70,60,4,1,2,4,1,76,2,3,11,85,5,2
2,1,2,2,3,1,2,75,66,15,53,47,3,1,1,4,1,25,5,6,15,80,5,1
2,1,2,2,2,1,2,85,85,50,100,40,1,5,0,4,1,43,1,3,4,100,1,2
1,1,2,1,2,1,2,60,40,30,60,60,5,1,3,4,1,70,1,7,22,70,5,3
1,1,2,2,2,1,0,70,50,0,50,40,NA,3,1,2,2,35,3,6,16,60,1,9
2,1,3,3,2,1,0,70,70,40,85,70,4,3,2,2,1,72,2,1,13,100,1,9
2,1,2,2,1,1,0,100,80,60,85,60,4,1,0,4,1,84,2,6,7,70,5,9
2,1,2,2,2,1,0,70,50,40,55,60,4,3,3,1,1,46,4,5,12,85,5,9
1,1,1,3,1,1,0,85,50,10,100,50,3,1,0,5,2,57,1,3,3,50,5,9
2,1,2,2,2,1,1,50,40,40,50,50,5,3,3,2,2,63,2,4,12,50,5,9
2,1,4,3,3,3,1,50,40,50,50,50,5,1,5,2,1,71,1,6,19,70,5,1
1,1,1,1,1,1,1,70,60,0,60,30,NA,1,2,5,1,48,5,6,16,70,5,9
1,1,NA,NA,NA,1,0,30,30,70,30,85,6,3,6,2,1,69,1,3,16,60,5,9
2,1,2,2,2,1,0,85,85,15,60,40,2,1,1,5,1,47,1,7,22,70,5,1
2,1,2,2,1,1,7,85,70,15,70,30,2,1,0,4,1,70,1,6,15,70,1,9
1,1,3,2,3,1,7,60,70,40,45,40,3,3,1,2,2,56,3,7,20,NA,5,1
2,1,2,2,2,1,7,80,90,40,70,90,2,1,4,5,1,38,1,4,21,50,5,2
1,1,5,4,5,1,7,50,25,NA,NA,NA,NA,1,3,5,1,62,1,1,19,50,5,2
1,1,2,2,2,1,7,10,85,0,70,30,4,3,2,1,1,76,1,5,16,50,5,2
1,1,3,3,3,1,20,60,85,15,60,40,5,1,1,4,2,69,1,1,15,70,5,2
1,1,4,3,3,1,20,70,15,40,60,60,4,1,2,3,2,24,5,6,13,70,5,2
1,1,2,2,2,1,20,15,40,70,40,70,6,1,4,1,2,85,5,1,8,NA,NA,9
1,1,2,2,3,3,20,65,65,50,55,50,4,1,3,4,2,49,1,6,24,70,5,9
2,1,2,2,5,1,20,60,70,0,60,60,4,5,3,1,1,75,1,4,NA,60,5,2
1,1,2,2,2,1,20,60,40,40,60,40,3,1,2,2,NA,45,5,5,20,50,5,9
1,1,3,2,3,1,11,60,50,50,50,70,NA,5,5,2,2,84,1,3,8,70,5,1
1,1,3,3,3,1,11,100,100,0,100,50,4,1,1,2,2,62,1,3,16,70,5,2
1,1,2,2,3,1,11,70,60,15,60,30,5,1,5,4,2,47,5,3,21,40,5,9
2,1,1,1,1,4,11,70,60,0,60,40,3,1,1,4,2,35,1,5,16,50,1,9
2,1,4,3,3,1,11,85,85,NA,70,40,NA,3,0,NA,1,61,2,1,2,NA,NA,9
2,1,3,2,3,1,0,0,0,40,15,85,5,5,4,4,1,59,1,4,22,45,5,2
1,1,4,3,4,1,0,50,30,50,50,50,NA,3,1,2,2,35,5,3,15,60,5,9
1,1,3,2,3,1,0,15,15,60,60,70,4,1,6,2,2,33,1,3,16,50,5,9
1,1,4,3,4,1,0,70,60,15,60,50,NA,1,1,4,2,33,1,3,22,60,5,2
2,1,5,4,4,1,0,50,40,40,50,50,3,3,5,3,2,33,5,2,3,70,5,1
2,1,2,2,2,1,4,85,60,70,60,40,4,3,1,2,1,58,2,2,16,30,5,7
1,1,4,NA,3,1,4,85,70,NA,NA,NA,6,3,1,4,2,55,1,1,16,85,5,9
2,1,4,3,4,1,4,60,50,50,60,15,5,3,1,2,2,31,3,4,15,85,1,9
2,1,3,2,3,1,4,85,60,15,100,30,NA,1,0,2,1,63,2,2,4,100,5,7
1,1,4,4,2,1,1,100,100,NA,100,50,4,1,0,2,1,53,1,1,16,60,5,2
2,1,3,2,3,1,1,85,85,30,100,60,3,1,0,2,1,49,3,7,21,85,1,2
2,1,2,2,2,1,1,0,0,60,30,85,5,3,6,4,1,40,1,6,24,60,1,1
2,1,4,2,4,1,1,85,85,40,70,60,4,3,1,2,1,36,1,5,20,85,5,2
1,1,3,3,3,1,1,85,70,30,70,50,3,3,0,4,1,41,1,3,17,85,5,2
1,1,2,2,1,1,1,60,40,60,40,60,5,3,5,4,1,73,1,5,15,NA,5,1
1,1,4,3,4,2,0,85,70,30,50,50,NA,3,3,2,1,42,1,4,10,50,5,1
2,1,4,2,3,2,0,60,40,30,60,70,5,3,5,2,1,64,1,2,15,40,5,1
2,1,3,3,3,2,0,85,85,NA,85,70,5,3,1,1,1,24,5,4,12,85,5,2
2,1,4,2,3,2,0,40,40,NA,40,60,7,3,5,2,1,31,1,3,19,60,5,1
1,1,4,3,3,2,0,30,30,15,30,30,NA,5,3,2,2,44,5,3,15,30,5,9
2,1,3,2,1,2,0,0,0,0,50,50,4,3,3,2,2,28,1,3,19,70,5,9
2,1,2,3,1,2,0,30,15,40,30,15,3,1,3,4,1,36,1,6,20,30,5,9
2,1,5,3,2,2,1,NA,NA,NA,60,50,NA,1,0,2,1,72,2,1,NA,NA,1,1
2,1,3,3,2,2,1,85,85,15,85,15,2,1,2,5,1,47,5,7,18,70,1,1
1,1,1,1,2,2,1,75,30,40,75,70,6,1,2,1,1,33,1,6,17,15,5,1
2,1,3,3,3,2,1,15,15,60,0,0,3,5,5,1,2,46,3,4,15,30,5,1
1,1,3,2,2,2,0,70,15,40,60,60,5,1,4,2,1,30,1,4,21,60,5,1
2,1,3,3,3,2,0,50,40,0,50,10,1,5,0,1,1,27,1,3,12,50,5,1
2,1,3,2,2,2,0,30,0,70,30,85,6,5,6,2,1,40,3,6,16,30,5,1
1,1,2,1,1,2,0,40,30,40,40,60,5,1,5,4,1,39,1,7,22,60,5,1
1,3,3,2,1,2,0,15,15,60,40,70,7,5,4,2,1,42,1,3,21,15,5,1
1,1,3,2,2,2,0,15,0,70,0,85,7,3,6,4,1,45,1,4,22,40,5,1
1,1,1,2,1,2,0,0,0,100,0,70,6,1,4,5,1,37,1,3,NA,40,5,1
1,1,4,4,4,2,0,100,85,60,85,60,NA,1,0,2,2,69,1,2,6,85,5,9
2,1,4,3,4,2,0,70,70,0,50,50,4,3,3,2,2,40,3,3,8,85,5,7
2,1,3,3,2,2,0,50,0,30,NA,NA,4,3,2,4,1,58,1,1,21,50,5,9
2,1,3,2,3,2,0,85,70,0,60,60,NA,1,3,3,1,54,3,6,15,70,5,1
2,1,5,3,3,2,0,15,50,NA,NA,NA,4,1,3,1,1,49,1,4,16,70,5,1
2,1,3,3,2,2,0,30,15,60,40,60,6,3,5,3,1,26,1,5,18,30,5,2
1,1,3,3,3,2,0,80,70,NA,50,50,4,5,3,1,1,26,1,3,14,NA,5,9
1,1,1,1,1,2,0,0,0,85,40,60,6,3,5,5,1,45,1,4,19,10,5,1
2,1,5,4,4,2,1,40,50,50,40,60,NA,3,5,4,2,38,3,3,2,85,5,1
2,1,4,3,2,2,1,30,30,NA,60,70,NA,1,4,4,1,28,1,4,14,85,5,1
2,1,3,3,1,2,9,40,60,60,50,50,NA,5,5,2,1,67,2,3,6,70,5,9
1,1,4,3,3,2,9,50,60,40,60,40,3,3,5,2,2,25,4,3,10,NA,NA,9
1,1,1,1,2,2,9,15,10,70,20,60,6,1,6,4,1,41,1,6,18,50,5,2
1,1,3,3,2,2,9,70,50,50,60,40,4,3,1,4,1,21,5,5,21,60,5,2
2,1,3,2,2,2,9,60,50,NA,50,60,NA,3,NA,1,1,42,5,2,7,NA,5,1
2,1,3,3,3,2,9,75,50,0,70,50,4,3,2,5,1,44,1,3,23,60,5,2
2,1,3,2,3,2,9,85,85,70,85,70,NA,1,0,1,1,64,1,3,16,75,5,2
2,1,3,3,4,2,9,50,50,50,50,50,NA,3,NA,NA,1,42,3,3,17,50,5,7
1,1,2,1,2,2,9,0,0,50,30,70,5,3,4,2,1,33,3,3,16,75,5,1
2,1,3,3,2,2,9,40,30,NA,50,50,4,1,3,2,1,72,3,4,7,100,5,9
2,1,3,3,3,2,9,40,60,40,40,70,4,5,5,1,1,39,1,3,21,70,5,9
1,1,2,2,3,2,9,50,0,0,50,50,6,5,1,1,1,40,1,3,18,0,5,9
2,1,2,2,3,2,9,90,90,50,85,45,2,1,0,2,1,33,1,5,20,75,5,2
2,1,2,2,2,2,9,60,50,40,50,70,4,1,5,2,1,58,3,7,19,50,5,2
2,1,2,2,3,2,9,40,40,NA,50,50,1,5,3,1,1,44,1,3,18,60,5,1
2,1,2,2,3,2,9,70,70,0,70,0,3,1,1,5,1,53,3,2,17,85,5,1
1,1,3,3,3,2,0,30,30,60,50,50,6,3,3,2,1,82,1,1,13,NA,5,2
1,1,2,2,2,2,0,60,40,50,55,60,4,3,4,4,1,56,1,7,20,40,5,1
1,1,2,2,2,2,0,NA,50,0,75,40,4,3,0,4,1,70,1,3,16,60,5,2
2,1,3,3,3,2,1,60,60,85,40,85,4,3,6,4,1,58,1,3,20,60,5,1
2,1,4,3,3,2,1,0,0,NA,NA,NA,NA,5,3,5,1,44,1,3,NA,NA,5,1
2,1,3,3,3,2,1,70,60,30,70,40,4,5,1,1,1,62,2,1,NA,NA,5,1
1,1,5,3,3,2,1,50,50,50,50,50,4,1,2,2,1,34,1,3,17,50,5,1
2,1,3,2,3,2,1,40,40,70,15,100,4,5,6,4,1,39,1,4,20,70,5,1
1,1,3,2,3,2,0,5,5,NA,20,75,4,5,6,1,2,22,6,3,15,NA,5,9
1,1,2,2,2,2,0,60,40,40,60,60,4,1,1,2,1,37,1,3,18,85,5,2
2,1,2,2,3,2,0,0,70,60,30,70,4,3,2,2,1,75,1,4,15,70,5,2
2,1,2,3,2,2,0,60,50,50,60,60,4,3,2,4,1,80,1,1,7,60,5,9
1,1,3,2,1,2,0,85,70,50,85,60,4,3,1,2,1,62,1,2,21,85,5,1
1,1,2,1,2,2,0,10,10,60,30,60,6,3,6,4,1,56,1,3,24,40,5,2
2,1,3,3,2,2,0,85,85,0,70,70,4,5,4,2,1,68,2,3,7,30,5,1
2,1,2,2,1,2,0,0,15,70,30,85,6,3,6,2,1,57,1,7,23,15,NA,1
2,1,5,4,2,2,0,100,100,40,90,60,NA,3,5,2,1,34,1,2,17,60,5,9
2,1,4,4,3,2,0,0,100,NA,50,40,NA,5,3,1,1,30,1,2,1,70,5,1
2,1,4,3,2,2,0,70,60,NA,85,0,4,3,1,1,1,32,1,3,18,70,5,9
2,1,4,3,3,2,0,0,0,50,85,85,NA,5,4,1,2,59,2,3,12,60,5,1
1,1,3,3,3,2,0,70,60,15,100,100,NA,3,3,1,2,72,1,1,NA,50,5,1
1,1,4,3,4,2,0,60,60,NA,50,50,NA,3,1,1,2,78,1,3,NA,50,5,9
1,1,5,2,4,2,5,70,60,40,60,40,5,1,1,3,1,61,1,3,18,60,5,1
1,1,1,1,1,2,5,0,10,85,55,75,6,3,5,4,1,47,1,7,22,60,5,1
2,1,4,3,3,2,5,60,40,15,100,0,NA,5,1,2,1,48,3,3,14,50,5,1
2,1,2,2,1,2,5,70,60,15,60,50,4,5,2,5,1,73,3,6,12,50,5,1
2,1,2,2,3,3,5,85,70,60,70,50,4,3,1,2,2,70,2,3,8,85,5,9
2,1,3,3,3,2,5,30,50,15,50,50,5,5,3,4,1,55,2,3,11,40,1,2
1,1,4,2,4,2,5,70,30,40,70,50,6,3,1,4,1,38,1,4,20,40,5,1
2,1,3,3,3,2,0,30,15,50,40,70,6,3,5,3,1,35,1,5,16,NA,NA,1
2,1,3,3,3,2,0,70,60,50,60,40,NA,1,1,4,1,49,1,3,14,70,5,1
1,1,3,3,3,2,0,35,25,25,15,50,6,5,5,1,1,28,1,3,12,10,5,1
1,1,3,3,3,2,0,60,50,50,70,70,NA,1,3,2,1,47,1,3,18,60,5,1
2,1,3,3,1,2,0,70,40,15,60,50,4,1,2,2,1,27,1,5,17,50,5,2
1,1,1,1,2,2,0,30,15,85,15,100,7,5,6,4,1,39,1,3,16,70,5,2
1,1,3,3,3,2,1,70,70,60,70,60,NA,3,1,2,1,45,1,3,18,70,5,2
2,1,3,3,4,2,1,100,85,40,85,30,NA,5,2,1,1,77,2,1,8,NA,NA,1
1,1,3,3,3,2,0,15,15,85,30,100,6,3,6,2,2,77,1,3,17,30,5,2
1,1,3,3,3,2,0,30,30,NA,60,NA,5,1,5,2,1,25,1,5,15,NA,5,1
2,1,3,3,3,2,0,85,85,60,50,60,4,3,0,1,1,45,1,3,22,NA,NA,1
1,1,3,3,2,2,0,60,60,50,70,70,6,1,1,1,1,75,2,3,18,70,5,2
2,1,3,3,3,2,0,30,15,30,40,70,6,3,6,4,1,58,1,6,16,40,5,1
2,1,3,2,3,2,0,15,15,40,40,85,6,1,6,5,1,50,1,3,14,30,5,1
2,1,2,3,2,2,1,15,60,60,30,70,6,5,5,2,1,30,5,5,13,70,1,1
2,1,2,2,2,2,1,70,60,15,70,30,2,3,0,2,2,27,1,6,18,60,5,9
1,1,1,1,1,2,22,85,75,8,75,40,5,3,2,3,1,58,1,7,21,60,5,1
2,1,2,2,2,2,22,15,15,85,30,100,6,5,6,2,1,71,2,3,NA,60,5,1
1,1,3,3,3,2,22,50,40,60,40,60,5,3,5,2,2,62,1,5,12,60,5,9
2,1,4,3,3,2,22,100,100,60,100,0,2,1,0,2,1,30,1,3,15,NA,NA,1
2,1,4,3,4,2,22,70,60,NA,70,15,1,1,1,2,2,20,5,3,1,70,5,9
2,1,2,2,1,2,22,100,50,0,85,15,2,1,0,5,1,29,5,6,11,100,1,2
1,1,3,2,1,2,22,40,0,40,40,60,5,3,3,5,1,55,1,3,NA,50,5,9
1,1,2,2,2,2,22,85,70,30,60,40,4,1,2,2,1,27,1,6,14,85,5,1
1,1,2,3,1,4,22,60,85,0,60,40,4,3,1,5,1,32,1,5,11,100,NA,1
1,1,5,3,5,2,22,70,50,NA,70,30,NA,1,0,2,2,29,1,3,16,60,5,9
2,1,2,2,2,2,22,100,100,0,100,0,NA,1,0,5,1,70,2,3,14,100,5,1
1,1,3,3,3,2,22,15,15,60,40,70,7,3,5,2,1,28,1,4,14,30,5,7
1,1,4,3,4,2,22,60,60,30,60,60,4,3,1,4,1,48,1,3,16,40,5,2
2,1,3,3,3,2,22,85,60,0,NA,NA,NA,5,3,2,1,65,3,3,8,60,5,1
2,1,3,3,2,2,22,100,100,0,100,30,NA,1,0,4,1,69,2,3,12,15,5,1
1,1,2,2,2,2,0,85,85,30,85,15,3,1,1,2,1,67,1,3,14,85,5,1
2,1,2,2,1,2,0,70,40,50,60,60,4,1,3,4,1,40,1,4,21,60,5,2
2,1,3,3,2,2,0,85,70,50,70,70,4,3,2,4,1,51,1,3,20,50,5,1
2,1,4,3,3,2,0,85,90,50,50,50,NA,1,3,4,1,29,1,4,15,50,5,2
2,1,1,2,1,2,1,70,100,0,70,0,1,3,1,1,1,55,1,4,19,85,1,2
1,1,3,3,3,2,1,85,70,40,85,40,NA,3,0,2,1,76,1,1,10,70,5,1
1,1,2,2,2,2,1,40,15,60,40,60,5,5,3,1,1,47,1,4,16,40,5,2
2,1,5,3,4,2,1,60,40,NA,70,30,4,3,2,3,1,46,3,3,8,60,5,9
2,1,3,3,2,2,1,50,40,50,50,50,4,3,1,2,1,35,1,4,18,60,5,1
2,1,5,3,4,2,1,0,30,NA,40,60,NA,5,5,2,1,71,2,1,6,40,5,1
1,1,4,3,3,3,0,70,40,NA,NA,NA,NA,1,3,1,1,34,1,2,23,NA,NA,1
2,2,2,2,2,3,16,85,85,50,100,0,NA,3,1,1,1,81,2,1,NA,85,1,1
